,productid,imageid,has_description
0,425348301,1009680753,0
1,4140796022,1299746804,0
2,651353882,1033554185,0
3,4043473264,1306457352,0
4,3374352963,1209372785,0
5,745789761,1304710852,0
6,155890694,1252525215,0
7,76484187,1274485144,0
8,4128431611,1296369442,0
9,201073642,1274557763,0
10,679913105,1034656535,0
11,2067770616,1268265052,0
12,439123607,1008802628,0
13,462695595,1033899971,1
14,61406346,879689595,0
15,4455112,1274327251,0
16,4128244497,1296193705,0
17,267474562,1305521231,0
18,3636076,851576730,0
19,131684645,885906564,0
20,131641431,885888766,1
21,85750002,894417024,0
22,90903864,866142122,0
23,3755191632,1241295155,0
24,3631559252,1281964502,0
25,4125529253,1295282447,0
26,258554070,970166455,1
27,3129566175,1197108887,0
28,148456267,903796661,0
29,3929849860,1265156068,0
30,247648,893934748,0
31,376295972,1002265248,0
32,17697451,1274811023,0
33,1846768044,1212591957,0
34,206718148,941494250,0
35,2085692387,1124918462,1
36,86220806,1198151310,0
37,266023,1256663595,0
38,3362350,324372727,0
39,4164562097,1305707648,0
40,143882703,1213418293,0
41,3673075091,1239512367,0
42,1893475865,1274401896,0
43,1859530972,1105996582,0
44,2703556,886098365,0
45,83638863,876168360,0
46,2085903721,1242367766,0
47,85776908,989996788,0
48,58589322,955842475,0
49,613834250,1031809505,0
50,46573039,894630236,0
51,1228777340,1069204532,0
52,93419307,1300039151,0
53,439655675,1009026772,0
54,154143987,909818167,0
55,90679788,879768973,0
56,59735146,847187918,0
57,111863962,916578724,1
58,17260490,1279657568,0
59,456620455,1254418220,0
60,292680258,1250491347,0
61,193728128,1274598444,0
62,156985787,1283504268,0
63,143713891,1076952594,0
64,287557089,1006857671,0
65,2066060448,1253633614,0
66,2297809,153112830,0
67,616756725,1031975356,0
68,74281435,1274424906,0
69,2987518142,1225156194,1
70,248054569,1282840910,0
71,4129616174,1296956838,0
72,85418243,857273913,0
73,3147986242,1291773782,0
74,4128571916,1296530084,0
75,149860962,905259500,0
76,4129069033,1296687500,0
77,104920847,875660980,1
78,147762567,903365686,0
79,86449674,990542755,0
80,418466190,1017775450,0
81,2379335621,1169544310,0
82,283491822,980427189,1
83,112909520,1283249003,0
84,4142016576,1299234119,0
85,439043894,1008663629,0
86,984922338,1052423767,0
87,2242045,62350930,0
88,3353762882,1283094983,0
89,67312551,997602835,0
90,67687890,1017442558,0
91,4140481231,1299382353,0
92,114113499,907269049,0
93,1434737,1274681460,0
94,407755735,1199796389,0
95,1298288914,1230386491,0
96,143726960,1077232841,0
97,439641810,1008888362,0
98,388549,1274526133,0
99,584408840,1196305749,0
100,89838607,876331437,0
101,103817069,1299103555,0
102,439151842,1008805332,0
103,6139423,920559229,0
104,975496348,1081624881,0
105,1834476,1267964324,0
106,2068282959,1255956995,0
107,604994807,1300362581,0
108,433303553,1007209606,0
109,49398070,875450094,0
110,67275897,894877604,0
111,2759455518,1162994241,0
112,3720982961,1290373213,0
113,3761345455,1242007571,0
114,4038703193,1300256862,0
115,86771462,1230379930,0
116,66629855,834192561,0
117,296768759,989522610,0
118,487114088,1015632401,0
119,4126403856,1295448442,0
120,2063910503,1127541763,1
121,933967167,1047898443,0
122,1049303896,1217562590,0
123,468876,873718424,0
124,439001569,1008620367,0
125,121706563,879575259,0
126,4127416601,1295910391,0
127,4165148198,1306397755,0
128,92360786,997831277,0
129,4126138058,1295367990,0
130,102676265,894823186,0
131,1470379,1282865311,0
132,86580676,1060824850,0
133,1176418929,1262758596,0
134,228422587,1307096850,0
135,4124895875,1295017363,0
136,108222462,1279653591,0
137,126713719,882079278,0
138,2085646484,1124890378,1
139,4131052368,1297553145,0
140,68496367,846455793,1
141,2085668459,1124898232,1
142,1690091792,1098600584,1
143,86188338,907836367,0
144,121783489,1274567809,0
145,67641883,997153828,0
146,49163098,390107636,0
147,193587945,934978834,0
148,4164874963,1306176244,0
149,1047456709,1227212718,0
150,793013603,1166098693,0
151,76731971,1274744721,0
152,56168997,981578333,0
