prdtypecode,prdtypecode_label
10,livres
40,jeux video
50,accesoires jeux video
60,consoles de jeux video
1140,produits derivés de jeux vidéos
1160,cartes collectionables
1180,figurines collectionnables pour jeu de société
1280,"jouets, peluches, poupées"
1281,jeux de société
1300,voitures miniatures et maquettes
1301,accesoires et jeux pour petits enfants/bébés
1302,jeux d'exterieur
1320,accessoires petite enfance
1560,mobilier de rangement pour la maison
1920,linge de maison
1940,nourriture
2060,accesoires de décoration pour maison
2220,accessoires pour animaux de compagnie
2280,magazines
2403,livres et bds
2462,consoles de jeux vidéo et jeux vidéos d'occasion
2522,produits de papeterie et rangement bureau
2582,mobilier d'extérieur et accessoires
2583,accessoires de piscine
2585,outillage et accessoires pour travaux ou jardinage
2705,livres
2905,jeux en téléchargement
